"order_id","status","track_number","positions_count","total_price_value","total_price_currency_code","total_price_currency_name","creation_dttm","update_dttm","client_id","client_name","client_birthdate","client_gender","client_phone_number","client_email","client_registration_dttm","client_address_country","client_address_region","client_address_city","client_address_street","client_address_house","client_address_postal_code","pick_up_point_id","point_open_date","point_address_country","point_address_region","point_address_city","point_address_street","point_address_house","point_address_postal_code"
"846f4140c91a4c4f9122ce5eda951f17",FINISHED,"5073-2825",7,21780,RUB,Российский рубль,2023-03-06 21:01:57.000 +0300,2023-03-11 06:57:35.000 +0300,b008eb1d8ed24cd180f02870c0df4f87,Пришелец Антон,1984-01-11,М,+79010998719,APriselec33@inbox.ru,2023-01-01 03:18:35.000 +0300,Россия,Самарская область,г. Самара,Рабочая,дом 31,"946415","0ef343da2bc04680a2f9f60724515d41",2023-02-28,Россия,Ростовская область,город Ростов-на-Дону,Ленина,д. 169,"786649"
b4a3af72b74540928bb9c8c71a6b0e25,FINISHED,"2366-1103",9,65317,RUB,Российский рубль,2024-11-28 04:15:39.000 +0300,2024-12-02 15:56:18.000 +0300,"6c1125b03e1b4c5b81df1471de7d4c7c",Гербель Николай Васильевич,1936-07-26,Ж,+79081017384,,2023-07-05 06:30:27.000 +0300,Россия,Волгоградская область,г. Волгоград,ул. Рабочая,дом 13,"375118",da4d2809b43f4dd38bfa8ec20abd0c09,2023-05-29,Россия,Курганская область,Курган,Каменщиков,д. 135,"179344"
a574a227aa8f4d8b93474a1aba312e99,FINISHED,"7941-5562",9,53210,RUB,Российский рубль,2023-11-16 20:58:18.000 +0300,2023-11-19 06:54:37.000 +0300,"876254e79cbf47789391dc29e0485286",Суриков Иван Захарович,1925-03-16,М,+79068542078,,2023-02-20 04:32:12.000 +0300,Россия,Брянская область,г. Брянск,ул. Пушкина,дом 161,"132056",f81156a26ab44023b0cbe1f5c3b2abf4,2023-02-06,Россия,Курская область,город Курск,Каменщиков,"135","774192"
ec315a8be5d94134b99486d7c5c6a5ef,CANCELLED,"6156-2192",3,39432,RUB,Российский рубль,2024-09-16 21:45:49.000 +0300,2024-09-20 07:03:15.000 +0300,"211a236e434f4cf4963e1a68c9babc66",Пригов Дмитрий,2000-02-06,М,+79028369187,,2024-01-31 04:20:31.000 +0300,Россия,Архангельская область,г. Архангельск,Достоевского,дом 94,"450536","621906e7999f419db3c69aba2aa6355e",2024-05-08,Россия,Вологодская область,город Вологда,ул. Рабочая,"26","439421"
d8f1f83e1a124f85a2e4603183ddfec7,FINISHED,"3788-2662",1,2041,RUB,Российский рубль,2024-07-29 14:23:48.000 +0300,2024-08-06 17:30:47.000 +0300,"76342d9b8783492083693aee3505e549",Сологуб Федор,1963-05-29,Ж,+79997548763,,2023-05-14 15:52:52.000 +0300,Россия,Ивановская область,г. Иваново,Рабочая,"80","625620","655d3e98bc914eafb0ffda0612ef363c",2023-12-12,Россия,Кировская область,Киров,ул. Музыкантов,дом 83,"243130"
"4978d4cdd41f4257b9c2ed71dc7ec373",CANCELLED,"2665-3456",7,40353,RUB,Российский рубль,2023-02-11 07:19:58.000 +0300,2023-02-17 19:54:18.000 +0300,"3b3b5bd736a1491f92770507455774e8",Бек Татьяна Александровна,1958-01-29,М,+79990869720,,2023-01-13 19:46:45.000 +0300,Россия,Вологодская область,город Вологда,Каменщиков,д. 41,"969034",b9401a603bd94f91bd0099e001c2054c,2023-02-11,Россия,Архангельская область,Архангельск,улица Достоевского,дом 70,"723237"
"09e9486c8de94988b469f6dc81c7ab5d",FINISHED,"8935-2785",4,11760,RUB,Российский рубль,2023-10-12 00:51:01.000 +0300,2023-10-14 08:08:37.000 +0300,e452ed1eafd049d6a11b4d8fb13f1aa0,Галич Александр,1927-04-06,М,+79823055532,,2023-03-13 21:09:05.000 +0300,Россия,Астраханская область,г. Астрахань,Рабочая,д. 97,"619585","4500f428cad44c3aa4ec0db56e3ad240",2023-03-04,Россия,Брянская область,город Брянск,улица Музыкантов,"92","543823"
ca72a190691043cd86e7bbae4d9c5aa2,FINISHED,"9239-8597",3,41501,RUB,Российский рубль,2024-09-11 16:22:28.000 +0300,2024-09-14 11:34:16.000 +0300,"0a6330db062f48ca84c3b46c7a67cc99",Горбовская Екатерина,1972-03-26,Ж,+79508763374,,2023-03-14 20:33:26.000 +0300,Россия,Курганская область,г. Курган,ул. Рабочая,"138","985250",b080f037f417480e9f983b3fb4310e50,2024-02-29,Россия,Вологодская область,г. Вологда,Рабочая,д. 180,"724611"
"0e8488a26986414dbaa4a48d7ad5be7b",CANCELLED,"8477-6558",3,8823,RUB,Российский рубль,2024-09-20 22:57:23.000 +0300,2024-09-24 23:12:02.000 +0300,"1cfd885ea9c24b4aae89da7dd42faceb",Воронкова Любовь Федоровна,1936-07-07,Ж,+79020103879,,2024-06-15 15:39:27.000 +0300,Россия,Воронежская область,г. Воронеж,улица 50-летия Октября,"140","652115","3556a6aa36694589acf895b2be01738e",2024-08-16,Россия,Самарская область,город Самара,улица Генерала Лизюкова,д. 85,"739751"
"621a45cef16b4cab8616d3657ce3a167",FINISHED,"1299-7125",8,27102,RUB,Российский рубль,2024-07-18 10:02:58.000 +0300,2024-07-26 21:01:14.000 +0300,c494c4b5e3464ac288fcd3ee3d1779c1,Снежина Татьяна Валерьевна,1962-08-12,Ж,+79081725240,TSnezina59@mail.ru,2023-07-28 06:17:01.000 +0300,Россия,Курганская область,Курган,улица Достоевского,"47","971741","7890d1135e964e1688cd36b5d001c3b5",2024-02-19,Россия,Курская область,Курск,ул. Музыкантов,дом 116,"880982"
